,popularity,duration_ms,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,year
53,3,486702,0.664,0.83,1,-10.113,0.0392,0.062,0.789,0.159,0.42,100.001,4,2020
54,0,1125721,0.176,0.797,7,-3.1,0.0711,0.35,4.25e-06,0.373,0.25,75.664,4,2021
55,3,61246,0.517,0.601,0,-7.787999999999999,0.034,0.674,0.00191,0.255,0.969,149.815,4,2020
56,0,1127314,0.287,0.879,4,-3.312,0.0543,0.182,0.8740000000000001,0.322,0.166,131.97899999999998,4,2021
57,0,452873,0.746,0.843,11,-6.907,0.11,0.00265,0.7979999999999999,0.0838,0.16,137.98,4,2020
58,0,180013,0.2789999999999999,0.303,7,-18.039,0.0395,0.627,0.204,0.122,0.462,92.071,4,2020
59,4,421725,0.652,0.826,7,-8.453,0.0411,0.016,0.8420000000000001,0.129,0.6629999999999999,123.004,4,2020
60,0,135131,0.53,0.1969999999999999,0,-11.357,0.0522,0.981,0.7240000000000001,0.156,0.414,115.057,4,2020
61,0,205822,0.715,0.526,1,-17.067,0.155,0.298,0.941,0.111,0.428,90.03299999999999,3,2021
62,0,191897,0.38,0.473,0,-13.996,0.0643,0.0043799999999999,0.379,0.0992,0.421,137.39600000000002,4,2020
63,0,213692,0.5589999999999999,0.669,7,-5.31,0.0361,0.0498,0.0574,0.0954,0.153,145.04399999999998,4,2020
64,0,208665,0.49,0.823,7,-4.795,0.373,0.228,0.00433,0.0672,0.7709999999999999,139.749,4,2020
65,0,136987,0.53,0.7979999999999999,8,-8.978,0.426,0.0137,0.0001909999999999,0.355,0.746,140.019,4,2020
66,0,301000,0.617,0.792,9,-4.814,0.0267,0.614,0.721,0.1,0.736,129.969,4,2020
67,0,248836,0.631,0.741,0,-5.504,0.0291,0.0425,0.7979999999999999,0.1169999999999999,0.7909999999999999,121.964,4,2020
68,0,284228,0.569,0.614,0,-7.134,0.0422,0.606,0.894,0.3289999999999999,0.65,110.013,5,2020
69,1,326038,0.622,0.748,7,-5.291,0.0255,0.3329999999999999,0.762,0.37,0.481,106.005,4,2020
70,0,244500,0.596,0.789,0,-4.74,0.032,0.188,0.1369999999999999,0.147,0.508,124.954,4,2020
71,0,232000,0.644,0.7040000000000001,7,-6.042000000000001,0.0292,0.125,0.95,0.143,0.595,119.994,4,2020
72,0,440500,0.597,0.755,0,-5.3660000000000005,0.0232,0.0595,0.0517,0.204,0.392,100.025,3,2020
73,0,256000,0.319,0.4039999999999999,7,-6.238,0.04,0.8859999999999999,0.871,0.0866,0.0446,102.801,3,2020
74,0,458500,0.623,0.759,0,-4.279,0.0301,0.0665,0.123,0.1009999999999999,0.758,119.986,5,2020
75,0,188000,0.336,0.68,5,-4.885,0.0429,0.146,0.111,0.109,0.6,168.264,3,2020
76,0,324182,0.5379999999999999,0.778,0,-4.621,0.0342,0.15,0.86,0.0953,0.384,137.07399999999998,5,2020
77,1,335500,0.513,0.923,0,-4.256,0.0344,0.0023899999999999,0.252,0.0884,0.593,94.97,4,2020
78,2,276102,0.942,0.7040000000000001,2,-7.018,0.161,0.2789999999999999,7.37e-06,0.16,0.6990000000000001,136.024,4,2021
79,2,188017,0.943,0.596,8,-10.938,0.278,0.043,0.0318,0.346,0.868,135.953,4,2021
80,1,178352,0.833,0.3989999999999999,10,-16.644000000000002,0.176,0.133,4.25e-06,0.0934,0.445,76.986,4,2021
81,1,169411,0.848,0.444,7,-16.991,0.311,0.368,0.0,0.214,0.619,77.029,4,2021
82,1,158839,0.818,0.5710000000000001,1,-12.463,0.0446,0.00266,0.00415,0.124,0.136,136.018,3,2021
83,2,185797,0.804,0.588,2,-12.813,0.0446,0.451,0.0,0.104,0.773,135.959,4,2021
84,2,170933,0.871,0.526,8,-13.244000000000002,0.242,0.0217,3.18e-05,0.0415,0.6509999999999999,147.958,4,2021
